Freq	DF_LOWSHELF(FREQ,350,3.5,0,48000)
+DF_HIGHSHELF(FREQ,3500,-2.5,0,48000)
131.469727	3.452861
131.835938	3.452341
132.202148	3.451817
132.568359	3.451288
132.934570	3.450756
133.300781	3.450219
133.666992	3.449678
134.033203	3.449133
134.399414	3.448583
134.765625	3.448029
135.131836	3.447471
135.498047	3.446908
135.864258	3.446341
136.230469	3.445770
136.596680	3.445194
136.962891	3.444614
137.329102	3.444029
137.695312	3.443440
138.061523	3.442846
138.427734	3.442247
138.793945	3.441645
139.160156	3.441037
139.526367	3.440425
139.892578	3.439809
140.258789	3.439187
140.625000	3.438562
140.991211	3.437931
141.357422	3.437296
141.723633	3.436656
142.089844	3.436011
142.456055	3.435362
142.822266	3.434708
143.188477	3.434049
143.554688	3.433385
143.920898	3.432716
144.287109	3.432043
144.653320	3.431364
145.019531	3.430681
145.385742	3.429993
145.751953	3.429300
146.118164	3.428602
146.484375	3.427899
146.850586	3.427191
147.216797	3.426478
147.583008	3.425760
147.949219	3.425037
148.315430	3.424309
148.681641	3.423576
149.047852	3.422838
149.414062	3.422094
149.780273	3.421346
150.000000	3.420894
150.146484	3.420592
150.512695	3.419833
150.878906	3.419069
151.245117	3.418300
151.611328	3.417525
151.977539	3.416745
152.343750	3.415960
152.709961	3.415170
153.076172	3.414374
153.442383	3.413573
153.808594	3.412767
154.174805	3.411955
154.541016	3.411138
154.907227	3.410315
155.273438	3.409487
155.639648	3.408654
156.005859	3.407815
156.372070	3.406970
156.738281	3.406120
157.104492	3.405265
157.470703	3.404404
157.836914	3.403537
158.203125	3.402665
158.569336	3.401787
158.935547	3.400904
159.301758	3.400015
159.667969	3.399120
160.034180	3.398220
160.400391	3.397314
160.766602	3.396402
161.132812	3.395484
161.499023	3.394561
161.865234	3.393632
162.231445	3.392697
162.597656	3.391756
162.963867	3.390810
163.330078	3.389858
163.696289	3.388899
164.062500	3.387935
164.428711	3.386965
164.794922	3.385989
165.161133	3.385008
165.527344	3.384020
165.893555	3.383026
166.259766	3.382026
166.625977	3.381021
166.992188	3.380009
167.358398	3.378991
167.724609	3.377967
168.090820	3.376937
168.457031	3.375901
168.823242	3.374859
169.189453	3.373811
169.555664	3.372757
169.921875	3.371696
170.288086	3.370629
170.654297	3.369557
171.020508	3.368478
171.386719	3.367392
171.752930	3.366301
172.119141	3.365203
172.485352	3.364099
172.851562	3.362988
173.217773	3.361872
173.583984	3.360749
173.950195	3.359619
174.316406	3.358484
174.682617	3.357342
175.048828	3.356193
175.415039	3.355038
175.781250	3.353877
176.147461	3.352709
176.513672	3.351535
176.879883	3.350355
177.246094	3.349168
177.612305	3.347974
177.978516	3.346774
178.344727	3.345567
178.710938	3.344354
179.077148	3.343134
179.443359	3.341908
179.809570	3.340675
180.175781	3.339436
180.541992	3.338190
180.908203	3.336937
181.274414	3.335678
181.640625	3.334412
182.006836	3.333139
182.373047	3.331860
182.739258	3.330574
183.105469	3.329281
183.471680	3.327982
183.837891	3.326676
184.204102	3.325363
184.570312	3.324043
184.936523	3.322717
185.302734	3.321384
185.668945	3.320044
186.035156	3.318697
186.401367	3.317343
186.767578	3.315983
187.133789	3.314615
187.500000	3.313241
187.866211	3.311860
188.232422	3.310472
188.598633	3.309077
188.964844	3.307676
189.331055	3.306267
189.697266	3.304851
190.063477	3.303429
190.429688	3.301999
190.795898	3.300563
191.162109	3.299119
191.528320	3.297669
191.894531	3.296211
192.260742	3.294747
192.626953	3.293275
192.993164	3.291797
193.359375	3.290311
193.725586	3.288819
194.091797	3.287319
194.458008	3.285812
194.824219	3.284299
195.190430	3.282778
195.556641	3.281250
195.922852	3.279715
196.289062	3.278172
196.655273	3.276623
197.021484	3.275067
197.387695	3.273503
197.753906	3.271932
198.120117	3.270354
198.486328	3.268769
198.852539	3.267177
199.218750	3.265577
199.584961	3.263971
199.951172	3.262357
200.000000	3.262141
200.317383	3.260736
200.683594	3.259107
201.049805	3.257472
201.416016	3.255829
201.782227	3.254179
202.148438	3.252522
202.514648	3.250857
202.880859	3.249185
203.247070	3.247506
203.613281	3.245820
203.979492	3.244126
204.345703	3.242425
204.711914	3.240717
205.078125	3.239002
205.444336	3.237279
205.810547	3.235549
206.176758	3.233812
206.542969	3.232067
206.909180	3.230315
207.275391	3.228555
207.641602	3.226789
208.007812	3.225015
208.374023	3.223233
208.740234	3.221444
209.106445	3.219648
209.472656	3.217845
209.838867	3.216034
210.205078	3.214216
210.571289	3.212390
210.937500	3.210557
211.303711	3.208717
211.669922	3.206869
212.036133	3.205014
212.402344	3.203152
212.768555	3.201282
213.134766	3.199405
213.500977	3.197520
213.867188	3.195628
214.233398	3.193729
214.599609	3.191822
214.965820	3.189908
215.332031	3.187987
215.698242	3.186058
216.064453	3.184121
216.430664	3.182178
216.796875	3.180226
217.163086	3.178268
217.529297	3.176302
217.895508	3.174329
218.261719	3.172348
218.627930	3.170360
218.994141	3.168364
219.360352	3.166361
219.726562	3.164351
220.092773	3.162333
220.458984	3.160308
220.825195	3.158276
221.191406	3.156236
221.557617	3.154188
221.923828	3.152134
222.290039	3.150072
222.656250	3.148002
223.022461	3.145925
223.388672	3.143841
223.754883	3.141749
224.121094	3.139650
224.487305	3.137544
224.853516	3.135430
225.219727	3.133309
225.585938	3.131181
225.952148	3.129045
226.318359	3.126902
226.684570	3.124751
227.050781	3.122593
227.416992	3.120428
227.783203	3.118255
228.149414	3.116075
228.515625	3.113888
228.881836	3.111694
229.248047	3.109492
