Freq	SPL
17.324000	6.301723
18.354000	6.285184
19.445000	6.267635
20.507812	6.251017
20.602000	6.249583
20.874023	6.245484
21.606445	6.234810
21.827000	6.231712
21.972656	6.229698
23.071289	6.215403
23.125000	6.214747
23.437500	6.211015
24.169922	6.202847
24.500000	6.199437
24.536133	6.199074
25.634766	6.189031
25.957000	6.186448
26.000977	6.186108
27.465820	6.176485
27.500000	6.176299
27.832031	6.174576
28.930664	6.169946
29.135000	6.169256
29.296875	6.168745
30.761719	6.165441
30.868000	6.165285
31.127930	6.164945
32.592773	6.163995
32.703000	6.163979
32.958984	6.163966
34.423828	6.164375
34.648000	6.164484
34.790039	6.164556
36.621094	6.165424
36.708000	6.165451
36.987305	6.165518
38.818359	6.165045
38.891000	6.164983
39.184570	6.164695
41.015625	6.161175
41.203000	6.160623
41.381836	6.160058
43.579102	6.149819
43.654000	6.149353
43.945312	6.147458
46.142578	6.128808
46.249000	6.127697
46.508789	6.124902
48.706055	6.096287
48.999000	6.091774
49.072266	6.090619
51.635742	6.043391
51.913000	6.037472
52.001953	6.035539
54.931637	5.962540
54.931641	5.962540
55.000000	5.960619
55.297848	5.952133
55.297852	5.952133
58.227535	5.858635
58.227539	5.858635
58.270000	5.857147
58.593746	5.845678
58.593750	5.845678
61.523434	5.732106
61.523438	5.732105
61.735000	5.723235
61.889645	5.716695
61.889648	5.716694
65.185547	5.566411
65.406000	5.555640
65.551758	5.548471
69.213867	5.356429
69.296000	5.351872
69.580078	5.336029
73.242188	5.121349
73.416000	5.110710
73.608398	5.098890
77.636719	4.841738
77.782000	4.832152
78.002930	4.817538
82.397461	4.518820
82.407000	4.518158
82.763672	4.493347
87.158195	4.183084
87.158203	4.183083
87.307000	4.172469
87.524406	4.156953
87.524414	4.156953
92.285149	3.816041
92.285156	3.816041
92.499000	3.800735
92.651360	3.789833
92.651367	3.789832
97.778313	3.425929
97.778320	3.425928
97.999000	3.410449
98.144524	3.400253
98.144531	3.400253
103.637688	3.022882
103.637695	3.022882
103.830000	3.009977
104.003899	2.998328
104.003906	2.998328
109.863274	2.618014
109.863281	2.618014
110.000000	2.609444
110.229485	2.595093
110.229492	2.595092
116.455070	2.222333
116.455078	2.222333
116.540000	2.217477
116.821281	2.201438
116.821289	2.201437
123.413078	1.845722
123.413086	1.845722
123.470000	1.842820
123.779289	1.827104
123.779297	1.827103
130.737305	1.496133
130.810000	1.492901
131.103516	1.479898
138.427734	1.179127
138.590000	1.172965
138.793945	1.165251
146.484375	0.897772
146.830000	0.886778
146.850586	0.886126
155.273422	0.643240
155.273438	0.643239
155.560000	0.635772
155.639633	0.633705
155.639648	0.633705
164.794907	0.420035
164.794922	0.420035
164.810000	0.419720
165.161118	0.412410
165.161133	0.412410
174.316391	0.241911
174.316406	0.241911
174.610000	0.237038
174.682602	0.235838
174.682617	0.235838
184.936508	0.085853
184.936523	0.085853
185.000000	0.085036
185.302719	0.081154
185.302734	0.081154
195.922836	-0.038493
195.922852	-0.038493
196.000000	-0.039254
196.289047	-0.042094
196.289062	-0.042095
207.641586	-0.139264
207.641602	-0.139264
207.650000	-0.139326
208.007797	-0.141974
208.007812	-0.141974
219.726547	-0.217118
219.726562	-0.217118
220.000000	-0.218628
220.092758	-0.219138
220.092773	-0.219138
232.910141	-0.279550
232.910156	-0.279550
233.080000	-0.280230
233.276352	-0.281012
233.276367	-0.281012
246.826157	-0.326694
246.826172	-0.326695
246.940000	-0.327016
247.192368	-0.327726
247.192383	-0.327726
261.474609	-0.361219
261.630000	-0.361519
261.840820	-0.361923
276.855438	-0.385529
276.855469	-0.385529
277.180000	-0.385938
277.221649	-0.385990
277.221680	-0.385990
293.334930	-0.402052
293.334961	-0.402052
293.660000	-0.402302
293.701141	-0.402333
293.701172	-0.402333
310.913055	-0.412315
310.913086	-0.412315
311.130000	-0.412406
311.279266	-0.412468
311.279297	-0.412468
329.589813	-0.417888
329.589844	-0.417888
329.630000	-0.417896
329.956024	-0.417959
329.956055	-0.417959
348.998993	-0.420295
348.999023	-0.420295
349.230000	-0.420311
349.365204	-0.420320
349.365234	-0.420320
369.873016	-0.421064
369.873047	-0.421064
369.990000	-0.421066
370.239227	-0.421070
370.239258	-0.421070
391.845673	-0.421443
391.845703	-0.421443
392.000000	-0.421447
392.211884	-0.421452
392.211914	-0.421452
415.283173	-0.422583
415.283203	-0.422583
415.300000	-0.422584
415.649384	-0.422611
415.649414	-0.422611
439.819305	-0.425410
439.819336	-0.425410
440.000000	-0.425438
440.185516	-0.425467
440.185547	-0.425467
465.820282	-0.430694
465.820312	-0.430694
466.160000	-0.430779
466.186493	-0.430786
466.186523	-0.430786
493.652313	-0.439107
493.652344	-0.439107
493.880000	-0.439187
494.018524	-0.439236
494.018555	-0.439236
522.949219	-0.450911
523.250000	-0.451047
523.315430	-0.451077
554.077087	-0.466396
554.077148	-0.466396
554.370000	-0.466555
554.443298	-0.466595
554.443359	-0.466595
587.036072	-0.485538
587.036133	-0.485538
587.330000	-0.485719
587.402283	-0.485764
587.402344	-0.485764
622.192322	-0.508364
622.192383	-0.508364
622.250000	-0.508403
622.558533	-0.508613
622.558594	-0.508613
659.179626	-0.534296
659.179688	-0.534296
659.260000	-0.534354
659.545837	-0.534561
659.545898	-0.534561
698.364197	-0.563150
698.364258	-0.563150
698.460000	-0.563222
698.730408	-0.563424
698.730469	-0.563424
739.746033	-0.594486
739.746094	-0.594486
739.990000	-0.594673
740.112244	-0.594766
740.112305	-0.594766
783.691345	-0.628202
783.691406	-0.628202
783.990000	-0.628432
784.057556	-0.628484
784.057617	-0.628484
830.566345	-0.664313
830.566406	-0.664313
830.610000	-0.664347
830.932556	-0.664596
830.932617	-0.664596
879.638611	-0.702138
879.638672	-0.702138
880.000000	-0.702416
880.004822	-0.702420
880.004883	-0.702420
932.006775	-0.742556
932.006836	-0.742556
932.330000	-0.742806
932.372986	-0.742840
932.373047	-0.742840
987.670837	-0.785731
987.670898	-0.785731
987.770000	-0.785808
988.037048	-0.786016
988.037109	-0.786016
1046.264526	-0.831606
1046.264648	-0.831607
1046.500000	-0.831792
1046.630737	-0.831895
1046.630859	-0.831895
1108.520386	-0.880995
1108.520508	-0.880995
1108.700000	-0.881138
1108.886597	-0.881287
1108.886719	-0.881287
1174.438354	-0.934086
1174.438477	-0.934086
1174.700000	-0.934298
1174.804565	-0.934383
1174.804688	-0.934383
1244.384644	-0.991278
1244.384766	-0.991278
1244.500000	-0.991373
1244.750854	-0.991579
1244.750977	-0.991579
1318.359253	-1.052584
1318.359375	-1.052584
1318.500000	-1.052702
1318.725464	-1.052890
1318.725586	-1.052890
1396.728394	-1.118267
1396.728516	-1.118267
1396.900000	-1.118411
1397.094604	-1.118575
1397.094727	-1.118575
1479.858276	-1.188601
1479.858398	-1.188601
1480.000000	-1.188721
1480.224487	-1.188912
1480.224609	-1.188912
1567.748901	-1.263629
1567.749023	-1.263629
1568.000000	-1.263845
1568.115112	-1.263943
1568.115234	-1.263943
1661.132690	-1.344144
1661.132812	-1.344144
1661.200000	-1.344203
1661.498901	-1.344462
1661.499023	-1.344462
1759.643433	-1.430113
1759.643555	-1.430113
