FREQ	GAIN
78.002930	4.091267
78.102000	4.084871
78.369141	4.067609
78.468000	4.061216
78.735352	4.043914
78.834000	4.037525
79.101562	4.020186
79.200000	4.013803
79.467773	3.996428
79.567000	3.989986
79.833984	3.972644
79.933000	3.966209
80.000000	3.961854
80.200195	3.948837
80.299000	3.942410
80.566406	3.925010
80.665000	3.918592
80.932617	3.901167
81.031000	3.894759
81.298828	3.877310
81.398000	3.870848
81.665039	3.853444
81.764000	3.846994
82.031250	3.829572
82.130000	3.823134
82.397461	3.805696
82.496000	3.799271
82.763672	3.781820
82.862000	3.775410
83.129883	3.757947
83.229000	3.751487
83.496094	3.734080
83.595000	3.727636
83.862305	3.710223
83.961000	3.703795
84.228516	3.686378
84.327000	3.679967
84.594727	3.662548
84.693000	3.656156
84.960938	3.638736
85.060000	3.632299
85.327148	3.614946
85.426000	3.608528
85.693359	3.591180
85.792000	3.584783
86.059570	3.567441
86.158000	3.561066
86.425781	3.543732
86.525000	3.537314
86.791992	3.520056
86.891000	3.513661
87.158203	3.496415
87.257000	3.490044
87.524414	3.472812
87.623000	3.466465
87.890625	3.449250
87.989000	3.442928
88.256836	3.425732
88.356000	3.419371
88.623047	3.402259
88.722000	3.395925
88.989258	3.378836
89.088000	3.372528
89.355469	3.355463
89.454000	3.349183
89.721680	3.332143
89.820000	3.325892
90.000000	3.314458
90.087891	3.308879
90.187000	3.302593
90.454102	3.285674
90.553000	3.279418
90.820312	3.262529
90.919000	3.256303
91.186523	3.239447
91.285000	3.233251
91.552734	3.216430
91.651000	3.210265
91.918945	3.193480
92.018000	3.187284
92.285156	3.170599
92.384000	3.164436
92.651367	3.147790
92.750000	3.141659
93.017578	3.125054
93.116000	3.118956
93.383789	3.102393
93.482000	3.096329
93.750000	3.079810
93.849000	3.073718
94.116211	3.057305
94.215000	3.051248
94.482422	3.034882
94.581000	3.028860
94.848633	3.012542
94.947000	3.006555
95.214844	2.990285
95.314000	2.984274
95.581055	2.968116
95.680000	2.962141
95.947266	2.946034
96.046000	2.940095
96.313477	2.924041
96.412000	2.918140
96.679688	2.902139
96.778000	2.896276
97.045898	2.880330
97.145000	2.874445
97.412109	2.858615
97.511000	2.852768
97.778320	2.836996
97.877000	2.831187
98.144531	2.815473
98.243000	2.809702
98.510742	2.794048
98.609000	2.788316
98.876953	2.772722
98.976000	2.766972
99.243164	2.751498
99.342000	2.745787
99.609375	2.730375
99.708000	2.724703
99.975586	2.709355
100.000000	2.707957
100.074000	2.703723
100.341797	2.688439
100.440000	2.682848
100.708008	2.667628
