*--JBL Synthesis curve
*	with target as
*	(
*	SELECT "Freq" FROM "TARGET_CURVE_DATA"
*	where prefered is not null
*	union
*	SELECT "Freq" FROM "cat_preftunefreq"
*	)
*	SELECT "Freq"
*	,0
*	+df_lowshelf	(freq,48000	,   21.875, -2.6,0)
*	+df_lowshelf	(freq,48000	,   43.750, 6.3,0)
*	+df_lowshelf	(freq,48000	,   87.500, 2.5,0)
*	+df_highshelf	(freq,48000	,   87.500,-0.2,0)
*	+df_highshelf	(freq,48000	,  175.000, 0.1,0)
*	+df_highshelf	(freq,48000	,  350.000, 0.0,0)
*	+df_highshelf	(freq,48000	,  700.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 1400.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 2800.000,-0.7,0)
*	+df_highshelf	(freq,48000	, 5600.000,-0.6,0)
*	+df_highshelf	(freq,48000	,11200.000,-0.7,0)
*	as SPL
*	FROM target order by freq
*Freq	SPL
739.746094	-0.492303
739.990000	-0.492559
740.112244	-0.492687
740.112305	-0.492687
783.691345	-0.537441
783.691406	-0.537441
783.990000	-0.537741
784.057556	-0.537809
784.057617	-0.537809
830.566345	-0.583448
830.566406	-0.583448
830.610000	-0.583489
830.932556	-0.583798
830.932617	-0.583798
879.638611	-0.629242
879.638672	-0.629242
880.000000	-0.629571
880.004822	-0.629575
880.004883	-0.629575
932.006775	-0.675676
932.006836	-0.675676
932.330000	-0.675956
932.372986	-0.675993
932.373047	-0.675993
987.670837	-0.722678
987.670898	-0.722678
987.770000	-0.722760
988.037048	-0.722981
988.037109	-0.722981
1046.264526	-0.770002
1046.264648	-0.770002
1046.500000	-0.770189
1046.630737	-0.770292
1046.630859	-0.770292
1108.520386	-0.818304
1108.520508	-0.818304
1108.700000	-0.818441
1108.886597	-0.818583
1108.886719	-0.818583
1174.438354	-0.867554
1174.438477	-0.867555
1174.700000	-0.867746
1174.804565	-0.867823
1174.804688	-0.867823
1244.384644	-0.917869
1244.384766	-0.917869
1244.500000	-0.917950
1244.750854	-0.918127
1244.750977	-0.918127
1318.359253	-0.968947
1318.359375	-0.968947
1318.500000	-0.969042
1318.725464	-0.969195
1318.725586	-0.969195
1396.728394	-1.020628
1396.728516	-1.020628
1396.900000	-1.020739
1397.094604	-1.020864
1397.094727	-1.020864
1479.858276	-1.072677
1479.858398	-1.072677
1480.000000	-1.072763
1480.224487	-1.072900
1480.224609	-1.072900
1567.748901	-1.124655
1567.749023	-1.124655
1568.000000	-1.124799
1568.115112	-1.124866
1568.115234	-1.124866
1661.132690	-1.176659
1661.132812	-1.176659
1661.200000	-1.176696
1661.498901	-1.176857
1661.499023	-1.176857
1759.643433	-1.228314
1759.643555	-1.228314
1760.000000	-1.228496
1760.009644	-1.228501
1760.009766	-1.228501
