*--Harman curve with 3500 HZ roll ready
*	with target as
*	(
*	SELECT "Freq" FROM "TARGET_CURVE_DATA"
*	where prefered is not null
*	union
*	SELECT "Freq" FROM "cat_preftunefreq"
*	)
*	SELECT "Freq"
*	,0
*	+df_lowshelf	(freq,48000	,   21.875, 0.4,0)
*	+df_lowshelf	(freq,48000	,   43.750,-0.8,0)
*	+df_lowshelf	(freq,48000	,   87.500, 6.8,0)
*	+df_highshelf	(freq,48000	,   87.500,-0.8,0)
*	+df_highshelf	(freq,48000	,  175.000, 0.2,0)
*	+df_highshelf	(freq,48000	,  350.000, 0.3,0)
*	+df_highshelf	(freq,48000	,  700.000,-0.4,0)
*	+df_highshelf	(freq,48000	, 1400.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 2800.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 5600.000,-0.6,0)
*	+df_highshelf	(freq,48000	,11200.000,-0.7,0)
*	as SPL
*	FROM target order by freq
*Freq	SPL
739.746033	-0.586755
739.746094	-0.586755
739.990000	-0.586931
740.112244	-0.587019
740.112305	-0.587019
783.691345	-0.618474
783.691406	-0.618474
783.990000	-0.618689
784.057556	-0.618738
784.057617	-0.618738
830.566345	-0.652060
830.566406	-0.652060
830.610000	-0.652091
830.932556	-0.652320
830.932617	-0.652321
879.638611	-0.686751
879.638672	-0.686751
880.000000	-0.687005
880.004822	-0.687008
880.004883	-0.687008
932.006775	-0.723214
932.006836	-0.723214
932.330000	-0.723437
932.372986	-0.723467
932.373047	-0.723467
987.670837	-0.761415
987.670898	-0.761416
987.770000	-0.761483
988.037048	-0.761665
988.037109	-0.761665
1046.264526	-0.801113
1046.264648	-0.801114
1046.500000	-0.801272
1046.630737	-0.801360
1046.630859	-0.801360
1108.520386	-0.842772
1108.520508	-0.842772
1108.700000	-0.842892
1108.886597	-0.843016
1108.886719	-0.843016
1174.438354	-0.886250
1174.438477	-0.886250
1174.700000	-0.886421
1174.804565	-0.886489
1174.804688	-0.886490
1244.384644	-0.931498
1244.384766	-0.931498
1244.500000	-0.931572
1244.750854	-0.931732
1244.750977	-0.931732
1318.359253	-0.978073
1318.359375	-0.978074
1318.500000	-0.978161
1318.725464	-0.978300
1318.725586	-0.978300
1396.728394	-1.025650
1396.728516	-1.025650
1396.900000	-1.025752
1397.094604	-1.025867
1397.094727	-1.025867
1479.858276	-1.073835
1479.858398	-1.073836
1480.000000	-1.073915
1480.224487	-1.074042
1480.224609	-1.074042
1567.748901	-1.122063
1567.749023	-1.122063
1568.000000	-1.122197
1568.115112	-1.122258
1568.115234	-1.122258
1661.132690	-1.170276
1661.132812	-1.170276
1661.200000	-1.170310
1661.498901	-1.170460
1661.499023	-1.170460
1759.643433	-1.218011
1759.643555	-1.218011
1760.000000	-1.218178
1760.009644	-1.218183
1760.009766	-1.218183
1864.379761	-1.265696
1864.379883	-1.265696
1864.700000	-1.265838
1864.745972	-1.265858
1864.746094	-1.265858
1975.341675	-1.313356
1975.341797	-1.313356
1975.500000	-1.313423
1975.707886	-1.313509
1975.708008	-1.313510
2092.895264	-1.361263
2092.895508	-1.361263
2093.000000	-1.361305
2093.261475	-1.361409
2093.261719	-1.361409
2217.406982	-1.409670
2217.407227	-1.409670
2217.500000	-1.409705
2217.773193	-1.409809
2217.773438	-1.409809
2349.242920	-1.458728
2349.243164	-1.458728
2349.300000	-1.458748
2349.609131	-1.458861
2349.609375	-1.458861
2488.769287	-1.508433
2488.769531	-1.508433
2489.000000	-1.508514
2489.135498	-1.508561
2489.135742	-1.508561
2636.718506	-1.558732
2636.718750	-1.558732
2637.000000	-1.558825
2637.084717	-1.558853
2637.084961	-1.558853
2793.456787	-1.609287
2793.457031	-1.609287
2793.800000	-1.609395
2793.822998	-1.609402
2793.823242	-1.609402
2959.716553	-1.659802
2959.716797	-1.659802
2960.000000	-1.659885
2960.082764	-1.659910
2960.083008	-1.659910
3135.864014	-1.709874
3135.864258	-1.709874
3136.000000	-1.709912
3136.230225	-1.709975
3136.230469	-1.709975
3322.265381	-1.759223
3322.265625	-1.759223
3322.400000	-1.759257
3322.631592	-1.759316
3322.631836	-1.759317
3519.653076	-1.807836
3519.653320	-1.807836
3520.000000	-1.807918
3520.019287	-1.807923
3520.019531	-1.807923
3729.125732	-1.855958
