FREQ	GAIN
78.002930	4.092288
78.102000	4.085894
78.369141	4.068639
78.468000	4.062249
78.735352	4.044954
78.834000	4.038568
79.101562	4.021236
79.200000	4.014855
79.467773	3.997488
79.567000	3.991048
79.833984	3.973713
79.933000	3.967281
80.000000	3.962928
80.200195	3.949916
80.299000	3.943492
80.566406	3.926099
80.665000	3.919684
80.932617	3.902266
81.031000	3.895861
81.298828	3.878419
81.398000	3.871960
81.665039	3.854563
81.764000	3.848116
82.031250	3.830701
82.130000	3.824266
82.397461	3.806835
82.496000	3.800413
82.763672	3.782969
82.862000	3.776562
83.129883	3.759107
83.229000	3.752649
83.496094	3.735250
83.595000	3.728808
83.862305	3.711403
83.961000	3.704978
84.228516	3.687568
84.327000	3.681161
84.594727	3.663749
84.693000	3.657360
84.960938	3.639948
85.060000	3.633513
85.327148	3.616168
85.426000	3.609753
85.693359	3.592413
85.792000	3.586019
86.059570	3.568684
86.158000	3.562312
86.425781	3.544986
86.525000	3.538571
86.791992	3.521320
86.891000	3.514928
87.158203	3.497690
87.257000	3.491322
87.524414	3.474098
87.623000	3.467754
87.890625	3.450547
87.989000	3.444228
88.256836	3.427040
88.356000	3.420682
88.623047	3.403578
88.722000	3.397247
88.989258	3.380165
89.088000	3.373861
89.355469	3.356803
89.454000	3.350526
89.721680	3.333495
89.820000	3.327246
90.000000	3.315818
90.087891	3.310242
90.187000	3.303959
90.454102	3.287048
90.553000	3.280794
90.820312	3.263914
90.919000	3.257691
91.186523	3.240843
91.285000	3.234650
91.552734	3.217837
91.651000	3.211676
91.918945	3.194899
92.018000	3.188706
92.285156	3.172029
92.384000	3.165869
92.651367	3.149231
92.750000	3.143104
93.017578	3.126507
93.116000	3.120412
93.383789	3.103858
93.482000	3.097797
93.750000	3.081286
93.849000	3.075197
94.116211	3.058793
94.215000	3.052739
94.482422	3.036381
94.581000	3.030363
94.848633	3.014053
94.947000	3.008069
95.214844	2.991808
95.314000	2.985800
95.581055	2.969650
95.680000	2.963678
95.947266	2.947580
96.046000	2.941645
96.313477	2.925599
96.412000	2.919701
96.679688	2.903710
96.778000	2.897849
97.045898	2.881913
97.145000	2.876030
97.412109	2.860210
97.511000	2.854365
97.778320	2.838602
97.877000	2.832796
98.144531	2.817091
98.243000	2.811324
98.510742	2.795678
98.609000	2.789950
98.876953	2.774365
98.976000	2.768618
99.243164	2.753153
99.342000	2.747445
99.609375	2.732042
99.708000	2.726374
99.975586	2.711034
100.000000	2.709637
100.074000	2.705406
